,url,title,story,created,goal,category,finished,first_cover_image,story_images,raised,cover_image_autocaption,story_images_autocaption,story_image_autocaption
0,https://www.gofundme.com/f/help-boun-amp-jerry,Help Boun & Jerry,"As some of you may or may not know I've been quietly battling chronic eczema for the past year but unfortunately it has taken a turn for the worst since the stresses of fracturing my arm back in June this year,been unemployed for three months and receiving no financial assistance from Centrelink ( still awaiting their reply )really took a toll on my physical and mental health, almost contemplated suicide because it was just getting too much. Losing job after job due to my illness and continual absence from work due to my health and lack of sleep.I had to change to Afternoon shift work just so I can sleep a little better and seek medical help without losing time off work.Anyhow  unfortunately my condition has worsened and am seeking financial assistance to cover my medical expenses for dermatologist and treatments till I can get back on my feet again.I understand this is my problem and not everyone or anyone for that matter cares or  will  help as we each have our own personal problems to deal with,for those that can I'm deeply indebted to you and  will repay each  of and everyone of you when I can,right now I don't need prayers as praying does nothing for me personally.I  thank you for taking a moment of your  time to read this  and any help you can give.I'm deeply embarrassed to even mention this publicly as most of you know I'm usually a reserved and quiet person that keeps to himself but desperate times calls for desperate measures.",1571814000,3000,2,0,https://images.gofundme.com/e970koquh8bOUsHvvwo1kBCE0NA=/640x480/https://d2g8igdw686xgo.cloudfront.net/42903444_1571859537516729_r.jpeg,,275,a close up of a person holding a pair of scissors,nan,
1,https://www.gofundme.com/f/cq2mq4,Trimble Funeral Expenses,"Clayton Trimble (age 30) passed away on August 6, 2014 leaving behind his Beautiful Wife Brandi & his 2 Beautiful Young Children Hattie & JoJo. He passed unexpectedly from a Seizure. We're wanting to raise money to help her with Funeral Expenses & what ever else she may need in for her and her children to get through this terrible time! If you can donate even a Dollar or two I know she and her children would appreciate it so much! Clayton Aaron Trimble, 30, of Waverly, passed away August 6, 2014. He was born in Parkersburg, the son of Mariann Morgan and the late Wayne Roscoe Trimble. He was a manager for Liberty Truck Stop. He enjoyed bowling, softball, and football, and was a fan of the Atlanta Braves and Cleveland Browns. In addition to his mother he is survived by his wife Brandi Ann Trimble and children Josiah and Hattie Trimble; a sister Christina Lockhart (Nick); brothers Alvin Trimble (Beverly) and Phillip Trimble; brother-in-law Michael Riblett; sister-in-law Jamie Riblett; his stepfather Dave Morgan; his father and mother-in-law James and Karen Riblett; a niece Kassidy Trimble; nephews Hayden Lockhart, Preston Trimble, Jarin Trimble, Landon Forman, and Ayden Riblett. In addition to his father he was preceded in death by his grandmother Oma Maria Trimble. Services will be 1pm Monday, at the Leavitt Funeral Home Parkersburg, with Pastor Sheryl Jo Wilson officiating. Burial will follow at Shiloh Cemetery. Visitation will be Sunday from 6-8pm. Online condolences may be sent at www.leavittfuneralhome.com - See more at: ",1407394800,2000,5,0,https://images.gofundme.com/OsSduxaKZz6nBSUQTasXLwp80E8=/640x480/https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1904423_1407986275.8264.jpg,,1690,a group of men standing next to each other .,nan,
2,https://www.gofundme.com/f/cqry7w,Fix Tess!,"Tess was hit by a car this week and was rescued by my veterinary hospital. She needs surgery to repair a broken pelvis and fix her ""broken"" lung. Help me fix this beautiful puppy!",1407394800,3500,0,0,https://images.gofundme.com/e-BPCfUBLvwEJspA9ewqiVPpjYI=/640x480/https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1907347_1407471296.472.jpg,http://3b4efb995be6c5c64252-c03f075f8191fb4e60e74b907071aee8.r12.cf1.rackcdn.com/1907347_1407471343.2755.jpg,3310,a black and white dog laying on a bed .,nan,a close up of a dog in a bath tub
3,https://www.gofundme.com/f/ct47yk,Dragons Youth Track and Field,"Dragons Youth Track and Field is a non profit organization located in Houston Tx, with affiliations in the AAU USATF and T.A.A.F. We are preparing for our 2015 season in which we are planning out of state Travel as a team. We have registered over 100 athletes and qualified in multiple associations year over year. We are currently seeking sponsorship and donations at this time. Please help us help our youth!  ""Be The Example""   Thank you DRAGONS YOUTH TRACK AND FIELD  ",1407567600,50000,7,0,https://images.gofundme.com/oXCcUdcMqWO_oIeoXlBnlXQ2b9Q=/640x480/https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1917079_1407614641.7584.jpg,"http://3b4efb995be6c5c64252-c03f075f8191fb4e60e74b907071aee8.r12.cf1.rackcdn.com/1917079_1407614800.2843.jpg,http://3b4efb995be6c5c64252-c03f075f8191fb4e60e74b907071aee8.r12.cf1.rackcdn.com/1917079_1407614860.6504.jpg",14229,a bunch of different types of scissors on a table .,nan,a group of people posing for a picture . a group of young men standing next to each other .
4,https://www.gofundme.com/f/medical-bills-for-liz,Medical bills for Liz,"My wonderful friend Liz Slionski has mounting medical expenses.  She needs a biopsy and testing, and due to lack of medical coverage, this is all out of pocket. I think $2000 is probably the tip of the iceberg, but it’s a start. She is a devoted wife and mother of three.  Liz has been an amazing friend to so many, always the first to put herself last. The fact that she has to pay up front for simple diagnostics is infuriating. Let’s help her out.",1560236400,10000,2,0,https://images.gofundme.com/uRYn3Lpqlh_b3-cnxdBThyXmhUQ=/640x480/https://d2g8igdw686xgo.cloudfront.net/39859260_1560268336574943_r.jpg,,3070,a pair of scissors sitting on top of a table .,nan,
5,https://www.gofundme.com/f/raise-the-roof-with-kindness,Raise the Roof with Kindness,"Bobbie Hauser is a widowed senior citizen. She is a compassionate, sweet, and loving woman who has given so much to people in need. She is known for her kindness and grace; she would give you the shirt off her back. Now, she’s found herself in a situation of needing help from others. Her roof is in need of replacement. There is a hole in the roof and it has been recommended that she replace the entire roof, but her insurance company will not cover the costs. She is on a fixed income and depends on her social security check to make ends meet. Because she does not have the means to obtain a new roof for her home, please help us reach our goal to ensure her safety and well-being. Let’s “Raise the Roof with Kindness”!",1560236400,5000,6,0,https://images.gofundme.com/7gqdcBSDGSCiXZ3vC8kH79AofGw=/640x480/https://d2g8igdw686xgo.cloudfront.net/39859254_1560270623612231_r.jpeg,,345,a truck parked in front of a house .,nan,
6,https://www.gofundme.com/f/58pz3r-anything-will-help,Anything will help,Our dad Gerald Mathes is presently at UNM hospital in Albuquerque. He has been admitted for heart failure his diagnosis is unfavorable. We are hanging in the balance with him of life and death. We have come in from out of town and are with our kids and are staying here with him when we can be there at the hospital.and juggling between all of us to be able to be with him. I have my son my sister has her two children and we have been working it out. Officially we have been here since Friday staying in hotels and don't know how many more we may need to stay. So far the expense has been covered but we are going into more days that are unexpected. Anybody that knows our dad is welcome at any time to visit him at the UNM medical ICU room 2812  second floor 2211 lomas boulevard Northeast Albuquerque New Mexico 87106.,1560236400,2000,2,0,https://images.gofundme.com/ZpqVCNtAtNVJTCx3yQedW_RLnfQ=/960x960/https://d2g8igdw686xgo.cloudfront.net/39859244_1560267473716684_r.jpeg,,645,a man sitting on top of a motorcycle .,nan,
7,https://www.gofundme.com/f/bringing-damon-home,Bringing Damon Home,"Hello everyone. I set up this GoFundMe account for the sole purpose of getting our dear friend Damon sent home to his love Brea. He passed away at the young age of 28 a little over a week ago while out in LA. Most of you knew Damon as a sweet gentle giant with the most open heart. He was loved and still is by a lot of us and so I am here trying to get his ashes sent home from LA to be with his girl Brea. She wants nothing more than to have him by her side again and she absolutely deserves that. The fee to get him home is not very pricy and I know with everyones help we can make that happen. Anything helps, and if you can not donate at this time please share this post. Rest in peace Damon, we're going to get you home love.",1560236400,400,5,0,https://images.gofundme.com/TD2kM11KpfmS5KLivqLdLyt6iRQ=/640x480/https://d2g8igdw686xgo.cloudfront.net/39859232_1560267265883442_r.jpeg,,450,a man and a woman sitting on a couch .,nan,
8,https://www.gofundme.com/f/tshirt-auction-rmc-meat-judging,T-Shirt Auction - RMC (meat judging),Oklahoma State Meat Science/Judging is raising funds for the annual T-Shirt Auction at RMC. This year funds will be used to support Intercollegiate Meat Judging. Any donation of $50 or greater - you will receive the OSU T-Shirt in the photo. Please comment with your size and if you would like it delivered to RMC or shipped. Go Pokes! More information about American Meat Science Association: AMSA is a broad-reaching organization of individuals that develops and disseminates its collective food and animal science knowledge to provide meat science education and professional development. The AMSA Educational Foundation is a set of endowed funds within AMSA that are used to support educational programs and scholarships for students and scientists in meat science.,1560236400,10000,9,0,https://images.gofundme.com/ql8QxbTdz6foV1_mGEUQVLs4Y0U=/640x480/https://d2g8igdw686xgo.cloudfront.net/39859214_1560267582457587_r.jpeg,https://d2g8igdw686xgo.cloudfront.net/39859214_1560268088540939_r.jpeg,650,a black and white photo of a person holding a pair of scissors .,nan,a book is sitting on top of a bed .
9,https://www.gofundme.com/f/kaotica-eyeball,Kaotica Eyeball,Need this last piece of equipment to start making demos and recording songs. If you have anything you can spare it would be extremely helpful to me. Any artist that donate will get as many free sessions as I have time for. Thank you so much in advance.,1560236400,250,13,0,https://images.gofundme.com/QfcHJYdMCR-scCRa5-TP-FqVD38=/640x480/https://d2g8igdw686xgo.cloudfront.net/39859174_1560267092464049_r.jpeg,,250,a close up of a cup of coffee,nan,
